date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:06	48287/48287	---MCZ	200	added ('OK')	text/html	etag:%22bc9f-68f1d180-b360fc5f35b8f367;gz%22	https://bestwpware.com//html/tf/digiv/index.html	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/index.html	(from )
20:36:08	219/219	---M-Z	200	added ('OK')	text/plain	date:Mon,%2015%20Dec%202025%2015:06:05%20GMT	https://bestwpware.com/robots.txt		(from )
20:36:10	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%2217fcf-G+wTgIPTsn/2h6nUG4C3l88gtwk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	E:/winhttrack%20base%20path/dizitalink/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:11	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-68f1d180-4afc44e26ed69802;gz%22	https://bestwpware.com//html/tf/digiv/assets/css/slick.css	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/assets/css/slick.css	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:12	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22c49-68f1d180-32da932303b5ffd;gz%22	https://bestwpware.com//html/tf/digiv/assets/css/slick-theme.css	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/assets/css/slick-theme.css	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:13	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-68f1d180-e91fa808d53aa179;gz%22	https://bestwpware.com//html/tf/digiv/assets/css/aos.css	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/assets/css/aos.css	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:13	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-68f1d180-85675f16ecfe3b74;gz%22	https://bestwpware.com//html/tf/digiv/assets/css/magnific-popup.css	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/assets/css/magnific-popup.css	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:15	232948/232948	---M-Z	200	added ('OK')	text/css	etag:%2238df4-68f1d180-a005ca78f922a6d;gz%22	https://bestwpware.com//html/tf/digiv/assets/bootstrap/bootstrap.min.css	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/assets/bootstrap/bootstrap.min.css	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:15	61202/61202	---M-Z	200	added ('OK')	text/css	etag:%22ef12-68f1d180-4200ec876470ed2a;gz%22	https://bestwpware.com//html/tf/digiv/assets/css/main.css	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/assets/css/main.css	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:16	1588/1588	---M-Z	200	added ('OK')	image/svg+xml	etag:%22634-68f1d180-8541ba51b8e4dc24;gz%22	https://bestwpware.com//html/tf/digiv/assets/img/logo.svg	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/assets/img/logo.svg	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:17	41793/41793	---MCZ	200	added ('OK')	text/html	etag:%22a341-68f1d180-3646d9bfc968d700;gz%22	https://bestwpware.com//html/tf/digiv/index2.html	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/index2.html	(from https://bestwpware.com//html/tf/digiv/index.html)
20:36:18	33272/33272	---MCZ	200	added ('OK')	text/html	etag:%2281f8-68f1d180-9945ed0b8bc076c0;gz%22	https://bestwpware.com//html/tf/digiv/about.html	E:/winhttrack%20base%20path/dizitalink/bestwpware.com/html/tf/digiv/about.html	(from https://bestwpware.com//html/tf/digiv/index.html)
